t,x,y,theta_deg,idx,target_x,target_y,v,w,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
0.016,-1.0,-1.0,0.0,0,-1.0,-0.8999999999999999,0.0,3.5,67,68,71,70,65,70,69,67
0.024,-0.999935635967501,-0.9999991235181265,1.5603624076857001,0,-1.0,-0.8999999999999999,0.0,3.5,69,66,62,66,67,69,65,65
0.032,-0.999935635967501,-0.9999991235181265,2.9788736873999735,0,-1.0,-0.8999999999999999,0.0,3.5,62,67,64,67,64,63,68,70
0.04,-0.999935635967501,-0.9999991235181265,4.6810872230571015,0,-1.0,-0.8999999999999999,0.0,3.5,72,68,63,66,66,64,74,64
0.048,-0.999935635967501,-0.9999991235181265,6.3833007587142285,0,-1.0,-0.8999999999999999,0.0,3.5,66,60,57,68,58,69,71,59
0.056,-0.999935635967501,-0.9999991235181265,7.8018120384285,0,-1.0,-0.8999999999999999,0.0,3.5,67,72,71,65,61,67,67,64
0.064,-0.999935635967501,-0.9999991235181265,9.504025574085626,0,-1.0,-0.8999999999999999,0.0,3.5,71,66,67,66,65,54,64,72
0.07200000000000001,-0.999935635967501,-0.9999991235181265,11.206239109742752,0,-1.0,-0.8999999999999999,0.0,3.5,70,69,61,69,65,64,71,68
0.08,-0.999935635967501,-0.9999991235181265,12.624750389457025,0,-1.0,-0.8999999999999999,0.0,3.5,63,63,74,68,66,70,68,63
0.088,-0.999935635967501,-0.9999991235181265,14.326963925114153,0,-1.0,-0.8999999999999999,0.0,3.5,68,69,69,65,73,65,66,66
0.096,-0.999935635967501,-0.9999991235181265,16.02917746077128,0,-1.0,-0.8999999999999999,0.0,3.5,68,66,60,64,67,66,67,73
0.10400000000000001,-0.999935635967501,-0.9999991235181265,17.447688740485553,0,-1.0,-0.8999999999999999,0.0,3.5,66,68,62,61,67,72,67,68
0.112,-0.999935635967501,-0.9999991235181265,19.14990227614268,0,-1.0,-0.8999999999999999,0.0,3.5,69,65,66,71,65,70,70,69
0.12,-0.999935635967501,-0.9999991235181265,20.85211581179981,0,-1.0,-0.8999999999999999,0.0,3.5,67,67,69,62,66,68,71,65
0.128,-0.999935635967501,-0.9999991235181265,22.27062709151408,0,-1.0,-0.8999999999999999,0.0,3.5,72,73,67,63,63,62,67,63
0.136,-0.999935635967501,-0.9999991235181265,23.97284062717121,0,-1.0,-0.8999999999999999,0.0,3.4591049180173306,61,66,69,67,65,69,70,67
0.14400000000000002,-0.999935635967501,-0.9999991235181265,25.391351906885482,0,-1.0,-0.8999999999999999,0.0,3.3848318410942535,62,67,63,62,67,69,67,67
0.152,-0.999935635967501,-0.9999991235181265,27.093565442542612,0,-1.0,-0.8999999999999999,0.0,3.295704148786561,67,68,67,68,60,66,66,64
0.16,-0.999935635967501,-0.9999991235181265,28.512076722256886,0,-1.0,-0.8999999999999999,0.0,3.2214310718634844,63,66,65,69,65,69,66,70
0.168,-0.999935635967501,-0.9999991235181265,29.93058800197116,0,-1.0,-0.8999999999999999,0.0,3.1471579949404074,67,72,62,62,69,57,64,65
0.176,-0.999935635967501,-0.9999991235181265,31.349099281685433,0,-1.0,-0.8999999999999999,0.0,3.07288491801733,67,63,68,67,66,66,65,68
0.184,-0.999935635967501,-0.9999991235181265,32.76761056139971,0,-1.0,-0.8999999999999999,0.0,2.9986118410942533,63,70,62,67,65,70,66,71
0.192,-0.999935635967501,-0.9999991235181265,34.18612184111398,0,-1.0,-0.8999999999999999,0.0,2.924338764171176,70,68,72,68,67,63,63,59
