tiempo_s,x_est,y_est,theta_deg,wp_restantes,dist_wp,estado,crudo_m,kalman_m,enc_izq_rad,enc_der_rad,long_ejecutada_m
0.032,-1.0000,-1.0000,0.00,39,0.1061,TRACKING,67.8,45.3,0.00000,0.00000,0.0000
0.048,-0.9997,-1.0000,0.65,39,0.1058,TRACKING,69.7,55.3,0.00000,0.03140,0.0003
0.064,-0.9995,-1.0000,1.55,39,0.1057,TRACKING,70.8,58.4,-0.01256,0.06280,0.0005
0.080,-0.9992,-1.0000,2.46,39,0.1055,TRACKING,72.8,61.2,-0.01884,0.10048,0.0008
0.096,-0.9988,-1.0000,3.11,39,0.1052,TRACKING,66.8,62.4,-0.01884,0.13188,0.0012
0.112,-0.9985,-0.9999,4.01,39,0.1050,TRACKING,67.1,63.3,-0.02512,0.16956,0.0015
0.128,-0.9981,-0.9999,4.79,39,0.1047,TRACKING,72.5,64.6,-0.02512,0.20724,0.0019
0.144,-0.9978,-0.9999,5.69,39,0.1045,TRACKING,70.1,65.5,-0.03140,0.24492,0.0022
0.160,-0.9974,-0.9998,6.47,39,0.1042,TRACKING,63.7,65.2,-0.03140,0.28260,0.0026
0.176,-0.9970,-0.9998,7.38,39,0.1038,TRACKING,68.1,65.6,-0.03140,0.32656,0.0030
0.192,-0.9966,-0.9997,8.15,39,0.1035,TRACKING,73.5,66.0,-0.03140,0.36424,0.0034
0.208,-0.9961,-0.9997,8.93,39,0.1031,TRACKING,68.5,66.0,-0.02512,0.40820,0.0039
0.224,-0.9956,-0.9996,9.84,39,0.1027,TRACKING,69.8,66.6,-0.02512,0.45216,0.0044
0.240,-0.9951,-0.9995,10.61,39,0.1023,TRACKING,67.5,66.7,-0.01884,0.49612,0.0049
0.256,-0.9946,-0.9994,11.39,39,0.1019,TRACKING,72.1,67.4,-0.01256,0.54008,0.0054
0.272,-0.9941,-0.9993,12.29,39,0.1014,TRACKING,67.3,66.6,-0.00628,0.59032,0.0060
0.288,-0.9936,-0.9992,13.07,39,0.1010,TRACKING,67.0,66.3,0.00000,0.63428,0.0065
0.304,-0.9930,-0.9990,13.98,39,0.1005,TRACKING,67.7,66.2,0.00628,0.68452,0.0071
0.320,-0.9924,-0.9989,14.88,39,0.1000,TRACKING,70.4,66.6,0.01256,0.73476,0.0077
0.336,-0.9918,-0.9987,15.66,39,0.0995,TRACKING,68.0,66.4,0.02512,0.78500,0.0083
0.352,-0.9912,-0.9985,16.43,39,0.0990,TRACKING,68.8,66.7,0.03768,0.83524,0.0089
0.368,-0.9905,-0.9983,17.34,39,0.0983,TRACKING,71.4,67.4,0.05024,0.89176,0.0097
0.384,-0.9899,-0.9981,18.12,39,0.0978,TRACKING,70.3,66.5,0.06280,0.94200,0.0103
0.400,-0.9892,-0.9979,19.02,39,0.0972,TRACKING,67.0,66.4,0.07536,0.99852,0.0110
0.416,-0.9885,-0.9977,19.80,39,0.0965,TRACKING,71.0,67.0,0.09420,1.05504,0.0118
0.432,-0.9878,-0.9974,20.71,39,0.0959,TRACKING,71.0,66.7,0.10676,1.11156,0.0125
0.448,-0.9871,-0.9971,21.48,39,0.0952,TRACKING,66.0,66.0,0.12560,1.16808,0.0133
0.464,-0.9864,-0.9968,22.26,39,0.0945,TRACKING,77.7,67.5,0.14444,1.22460,0.0140
0.480,-0.9856,-0.9965,23.16,39,0.0938,TRACKING,71.8,68.0,0.16328,1.28740,0.0149
0.496,-0.9849,-0.9962,23.81,39,0.0930,TRACKING,70.1,68.0,0.18840,1.34392,0.0157
0.512,-0.9841,-0.9958,24.72,39,0.0923,TRACKING,71.6,68.5,0.20724,1.40672,0.0165
0.528,-0.9833,-0.9955,25.49,39,0.0915,TRACKING,62.7,67.7,0.23236,1.46952,0.0174
0.544,-0.9825,-0.9951,26.40,39,0.0907,TRACKING,70.9,68.1,0.25120,1.53232,0.0183
0.560,-0.9817,-0.9947,27.18,39,0.0899,TRACKING,68.1,68.1,0.27632,1.59512,0.0192
0.576,-0.9809,-0.9942,27.82,39,0.0890,TRACKING,72.8,68.7,0.30772,1.65792,0.0201
0.592,-0.9801,-0.9938,28.60,39,0.0882,TRACKING,68.9,68.0,0.33284,1.72072,0.0210
0.608,-0.9792,-0.9934,29.25,39,0.0873,TRACKING,68.4,68.0,0.36424,1.78352,0.0220
0.624,-0.9784,-0.9929,30.15,39,0.0864,TRACKING,69.4,68.0,0.38936,1.85260,0.0230
